0,Minivan,Yes,18,63581743
1,Minivan,Yes,1,132761049
2,Van,Yes,10,921317019
3,SUV,No,10,727598473
4,Minivan,Yes,6,450221861
5,SUV,No,17,743146596
6,Sports Car,No,7,871024631
7,SUV,No,1,792300541
8,Minivan,No,1,7945239
9,SUV,No,10,3577610
10,Van,Yes,7,892208080
11,SUV,No,1,77382913
12,Van,No,17,856886560
13,Sports Car,No,11,308455362
14,Minivan,No,1,989828809
15,Van,Yes,9,376482434
16,Panel Truck,Yes,10,665591504
17,Pickup,No,4,713692930
18,SUV,No,5,588888550
19,SUV,No,13,140015922
20,Minivan,Yes,1,162166370
21,Minivan,No,16,884513944
22,SUV,No,20,627708979
23,Minivan,No,7,116375554
24,SUV,No,1,235358484
25,Panel Truck,Yes,1,528040687
26,SUV,No,14,652572577
27,Minivan,No,5,410873772
28,SUV,No,11,254362485
29,Panel Truck,No,12,69165559
30,Sports Car,No,1,201327208
31,SUV,No,15,573751437
32,SUV,No,1,483050926
33,Minivan,No,12,146989842
34,SUV,No,12,742435591
35,SUV,No,12,915517588
36,Panel Truck,No,8,756785495
37,Minivan,No,1,66662029
38,Minivan,No,9,294816298
39,SUV,No,10,686791659
40,Panel Truck,No,15,269341556
41,Van,Yes,13,396972296
42,Minivan,No,12,364483168
43,Minivan,No,14,866093378
44,SUV,No,9,515421877
45,Van,No,15,173737852
46,Sports Car,No,1,745183922
47,SUV,No,11,298271736
48,SUV,No,6,70821537
49,Pickup,No,7,258951025
50,Sports Car,No,8,807174588
51,Minivan,No,1,514538041
52,Panel Truck,Yes,5,25561360
53,Minivan,Yes,5,753037176
54,SUV,No,8,883748009
55,Minivan,Yes,15,31827166
56,SUV,No,5,680782638
57,Minivan,Yes,1,883604551
58,Minivan,Yes,8,714473703
59,Minivan,No,11,213057541
60,Pickup,Yes,6,885280620
61,Minivan,Yes,1,931739722
62,Sports Car,No,8,939401184
63,Minivan,No,16,840809480
64,SUV,No,1,800426023
65,Minivan,Yes,6,14827139
66,Van,No,13,212687745
67,Minivan,Yes,1,224701093
68,Panel Truck,Yes,10,401200262
69,Minivan,No,10,926073051
70,SUV,No,1,45830738
71,SUV,No,8,997497927
72,Sports Car,No,10,862203239
73,Pickup,No,1,116102677
74,SUV,No,4,635101571
75,Sports Car,No,8,793404097
76,Sports Car,No,15,62434528
77,Panel Truck,No,18,935079846
78,Minivan,No,11,948288985
79,SUV,No,20,396323054
80,Panel Truck,Yes,12,299024508
81,Pickup,Yes,8,39392545
82,Panel Truck,Yes,17,536604822
83,SUV,No,18,429992959
84,Minivan,No,1,160577728
85,Minivan,Yes,11,108385737
86,Sports Car,No,7,414142186
87,Sports Car,No,8,421217157
88,SUV,No,3,935010485
